price,currency,color,region,sku,name,size,crawl_time,description,category
420.00, ,,UNITED STATES,3Y5G525NZEZ14801480,Double-breasted jacket,,,,
775.00, ,,UNITED STATES,3YMG59MJTKZ00170017,Three button jacket,,,,
300.00, ,,UNITED STATES,3Y5G835J1IZ15971597,Double-breasted jacket,,,,
440.00, ,,UNITED STATES,3Y5G085N1KZ12001200,JACQUARD SINGLE BUTTON JACKET,,,,
370.00, ,,UNITED STATES,3Y5G905JYAZ21RG21RG,One button jacket,,,,
525.00, ,,UNITED STATES,VMP42TVM004999999,Classic pant,,,,
625.00, ,,UNITED STATES,VMP29TVM012916916,Wide-leg pant,,,,
495.00, ,,UNITED STATES,VMP05TVM015727727,SOLID COLOUR CIGARETTE TROUSERS,,,,
495.00, ,,UNITED STATES,VMP05TVM015999999,SOLID COLOUR CIGARETTE TROUSERS,,,,
300.00, ,,UNITED STATES,3Y5P535D1ZZ15001500,High-waist pant,,,,
875.00, ,,UNITED STATES,VMP29TVM025600600,Wide-leg pant,,,,
595.00, ,,UNITED STATES,VMP01TVM015125125,Wide-leg pant,,,,
320.00, ,,UNITED STATES,3Y5P815J1IZ12001200,Classic pant,,,,
595.00, ,,UNITED STATES,VMP08TVM008923923,CLASSIC SOLID COLOUR TROUSERS,,,,
310.00, ,,UNITED STATES,3Y5P105N18Z19091909,Chino,,,,
370.00, ,,UNITED STATES,3Y5P165NYSZ155N155N,Trousers,,,,
625.00, ,,UNITED STATES,VMP10TVM024341341,Classic pant,,,,
330.00, ,,UNITED STATES,3Y5P105NXWZ21162116,Chino,,,,
595.00, ,,UNITED STATES,TMP09TTM0081919,TROUSERS IN CRÊPE,,,,
495.00, ,,UNITED STATES,VMP02TVM028117117,Straight leg pant,,,,
595.00, ,,UNITED STATES,VMP10TVM004905905,Straight leg pant,,,,
300.00, ,,UNITED STATES,3Y5P145N1IZ29282928,3/4-length pant,,,,
310.00, ,,UNITED STATES,3Y5P105N18Z13601360,SOLID COLOUR CHINOS,,,,
290.00, ,,UNITED STATES,3Y5P075N0AZ29282928,Classic pant,,,,
240.00, ,,UNITED STATES,3Y5P095N1IZ29022902,High-waist pant,,,,
270.00, ,,UNITED STATES,3Y5P545NZEZ14801480,Straight leg pant,,,,
220.00, ,,UNITED STATES,3Y5J185NZXZ14171417,Classic pant,,,,
195.00, ,,UNITED STATES,3Y5J055NXYZ13601360,Shorts,,,,
270.00, ,,UNITED STATES,3Y5P095N16Z05430543,TWILL LOW RISE TROUSERS,,,,
230.00, ,,UNITED STATES,3Y5S405NXWZ24292429,Shorts,,,,
250.00, ,,UNITED STATES,3Y5P175N1RZ12001200,Leggings,,,,
320.00, ,,UNITED STATES,3Y5J855D19Z12001200,Straight leg pant,,,,
995.00, ,,UNITED STATES,3YMG63MJSCZ00250025,SHORT FLECKED JACQUARD JACKET,,,,
445.00, ,,UNITED STATES,3YMM01MM05Z08460846,RIBBED CREW NECK T-SHIRT,,,,
495.00, ,,UNITED STATES,3YMM19MM20Z08070807,Crewneck sweater,,,,
895.00, ,,UNITED STATES,3YMM15MM15Z09160916,RIBBED CREW NECK SWEATER ,,,,
625.00, ,,UNITED STATES,3YME11MM01Z03280328,LIGHTWEIGHT KNIT CARDIGAN WITH BELL-SHAPED SLEEVES,,,,
495.00, ,,UNITED STATES,3YMM19MM20Z09160916,Crewneck sweater,,,,
445.00, ,,UNITED STATES,3YMM01MM05Z01010101,RIBBED CREW NECK T-SHIRT,,,,
330.00, ,,UNITED STATES,3Y5E2D5M10Z12001200,Cardigan,,,,
360.00, ,,UNITED STATES,3Y5E1R5M29Z15761576,Cardigan,,,,
395.00, ,,UNITED STATES,3YMH02MM07Z00540054,Crewneck sweater,,,,
625.00, ,,UNITED STATES,3YME04MM08Z00580058,100% SILK CARDIGAN WITH BOW,,,,
625.00, ,,UNITED STATES,3YMM10MM13Z00660066,Crewneck sweater,,,,
625.00, ,,UNITED STATES,3YMM18MM18Z06280628,VERTICAL PATTERN CREW NECK SWEATER,,,,
595.00, ,,UNITED STATES,3YMM08MM11Z01010101,COTTON AND CASHMERE SWEATER ,,,,
575.00, ,,UNITED STATES,3YMM07MM10Z09160916,SHORT SLEEVE JACQUARD SWEATER ,,,,
595.00, ,,UNITED STATES,3YMM08MM11Z09050905,COTTON AND CASHMERE SWEATER ,,,,
240.00, ,,UNITED STATES,3Y5M2F5M1WZ39133913,Polo sweater,,,,
330.00, ,,UNITED STATES,3Y5B1B5M0LZ25392539,Cardigan,,,,
270.00, ,,UNITED STATES,3Y5M2L5M22Z11001100,Crewneck sweater,,,,
250.00, ,,UNITED STATES,3Y5M1A5M0RZ11481148,LONG SLEEVE TOP WITH STRIPED BACK ,,,,
260.00, ,,UNITED STATES,3Y5E1A5M0RZ12001200,Cardigan,,,,
270.00, ,,UNITED STATES,3Y5M2M5M30Z15971597,Crewneck sweater,,,,
300.00, ,,UNITED STATES,3Y5M1R5M25Z155N155N,V  neck sweater,,,,
270.00, ,,UNITED STATES,3Y5E1Q5M24Z12001200,Cardigan,,,,
250.00, ,,UNITED STATES,3Y5M1A5M0RZ155N155N,LONG SLEEVE TOP WITH STRIPED BACK ,,,,
370.00, ,,UNITED STATES,3Y5E1S5M1ZZ12001200,Cardigan,,,,
360.00, ,,UNITED STATES,3Y5M2G5M23Z14171417,Crewneck sweater,,,,
360.00, ,,UNITED STATES,3Y5M2G5M23Z11001100,Crewneck sweater,,,,
260.00, ,,UNITED STATES,3Y5E2B5M1WZ155N155N,Cardigan,,,,
135.00, ,,UNITED STATES,3Y5M475JZFZ24RR24RR,LONG SLEEVE STRIPED JERSEY SWEATER ,,,,
135.00, ,,UNITED STATES,3Y5M065J0SZ29RC29RC,Sweater,,,,
240.00, ,,UNITED STATES,3Y5M2F5M1WZ17011701,Polo sweater,,,,
135.00, ,,UNITED STATES,3Y5M475JZFZ22RC22RC,LONG SLEEVE STRIPED JERSEY SWEATER ,,,,
270.00, ,,UNITED STATES,3Y5M2M5M30Z12001200,Crewneck sweater,,,,
130.00, ,,UNITED STATES,3Y5M725JZFZ22RC22RC,Crewneck sweater,,,,
125.00, ,,UNITED STATES,3Y5M715JZQZ11481148,Crewneck sweater,,,,
645.00, ,,UNITED STATES,VMN14TVM304807807,Knee length skirt,,,,
300.00, ,,UNITED STATES,3Y5N425NZKZ05340534,Knee length skirt,,,,
395.00, ,,UNITED STATES,6XMN50MJFAZ09990999,PENCIL SKIRT IN VISCOSE BLEND,,,,
475.00, ,,UNITED STATES,VMN01TVM015727727,SOLID COLOUR PENCIL SKIRT,,,,
625.00, ,,UNITED STATES,VMN01TVM186117117,Knee length skirt,,,,
330.00, ,,UNITED STATES,3Y5N065NXZZ24292429,Knee length skirt,,,,
210.00, ,,UNITED STATES,3Y5N075N0AZ24222422,Knee length skirt,,,,
645.00, ,,UNITED STATES,VMN20TVM015999999,MID-LENGTH CREPE SKIRT,,,,
290.00, ,,UNITED STATES,3Y5N805J1IZ15971597,SOLID COLOUR MID-LENGTH JERSEY SKIRT,,,,
250.00, ,,UNITED STATES,3Y5N055N16Z04530453,Knee length skirt,,,,
"1,025.00", ,,UNITED STATES,VMN21TVM503010010,SHORT ORGANZA SKIRT,,,,
625.00, ,,UNITED STATES,VMN05TVM022919919,Knee length skirt,,,,
